№;Линк категории поставщика;channel;prefix;coef_retail;coef_dealer;Номер_групи;Назва_групи;Ідентифікатор_підрозділу;Посилання_підрозділу;Особисті_нотатки;Ярлик;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;feed;category id;Назва у постачальника;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики
49;https://secur.ua/ajax/komfort-ta-produktivnist/ramki-dlia-vimikaciv-ta-rozetok/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;S;;Вага;г;;50;399;Рамки для вимикачів та розеток;Тип устройства;;Рамки для вимикачів та розеток
50;https://secur.ua/ajax/komfort-ta-produktivnist/ramki-dlia-vimikaciv-ta-rozetok/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;410612;https://prom.ua/Nastennye-vyklyuchateli;"S, Sprom, noindex";;Вага;г;;50;399;Рамки для вимикачів та розеток;Тип устройства;;Рамки для вимикачів та розеток
51;https://secur.ua/ajax/komfort-ta-produktivnist/rozumni-rozetki/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;53004;https://prom.ua/Rozetki-elektricheskie;S;;Вага;г;;50;567;Вбудовані розумні розетки;Тип устройства;;Вбудовані розумні розетки
52;https://secur.ua/ajax/komfort-ta-produktivnist/rozumni-rozetki/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;53004;https://prom.ua/Rozetki-elektricheskie;"S, Sprom, noindex";;Вага;г;;50;567;Вбудовані розумні розетки;Тип устройства;;Вбудовані розумні розетки
53;https://secur.ua/ajax/komfort-ta-produktivnist/paneli-dlia-rozetki/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;53004;https://prom.ua/Rozetki-elektricheskie;S;;Вага;г;;50;560;Панелі для розетки;Тип устройства;;Панелі для розетки
54;https://secur.ua/ajax/komfort-ta-produktivnist/paneli-dlia-rozetki/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;53004;https://prom.ua/Rozetki-elektricheskie;"S, Sprom, noindex";;Вага;г;;50;560;Панелі для розетки;Тип устройства;;Панелі для розетки
55;https://secur.ua/ajax/komfort-ta-produktivnist/zagluski/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;53004;https://prom.ua/Rozetki-elektricheskie;S;;Вага;г;;50;751;Заглушки;Тип устройства;;Заглушки
56;https://secur.ua/ajax/komfort-ta-produktivnist/zagluski/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;53004;https://prom.ua/Rozetki-elektricheskie;"S, Sprom, noindex";;Вага;г;;50;751;Заглушки;Тип устройства;;Заглушки
57;https://secur.ua/ajax/korpusi-dummybox/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302309;https://prom.ua/Koroba-i-korpusa-dlya-ohrannyh-sistem;S;;Вага;г;;50;729;Корпуси DummyBox;Тип устройства;;Корпуси DummyBox
58;https://secur.ua/ajax/korpusi-dummybox/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302309;https://prom.ua/Koroba-i-korpusa-dlya-ohrannyh-sistem;"S, Sprom, noindex";;Вага;г;;50;729;Корпуси DummyBox;Тип устройства;;Корпуси DummyBox
59;https://secur.ua/ajax/elektrozivlennia-ajax/umnye-rozetki-i-rele/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;14190901;https://prom.ua/Rele-napryazheniya;S;;Вага;г;;50;391;Реле і розумні розетки;Тип устройства;;Реле і розумні розетки
60;https://secur.ua/ajax/elektrozivlennia-ajax/umnye-rozetki-i-rele/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;14190901;https://prom.ua/Rele-napryazheniya;"S, Sprom, noindex";;Вага;г;;50;391;Реле і розумні розетки;Тип устройства;;Реле і розумні розетки
61;"https://secur.ua/ajax/elektrozivlennia-ajax/jelektropitanie-ajax/status=1;type-bat-f=batareika-6197";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;1507;https://prom.ua/Batarejki;S;;Вага;г;;50;624;Батарейки;Тип устройства;;Батарейки
62;"https://secur.ua/ajax/elektrozivlennia-ajax/jelektropitanie-ajax/status=1;type-bat-f=batareika-6197";prom;prom_;"0,99";"1,3";148391021;Ajax;1507;https://prom.ua/Batarejki;"S, Sprom, noindex";;Вага;г;;50;624;Батарейки;Тип устройства;;Батарейки
63;"https://secur.ua/ajax/elektrozivlennia-ajax/jelektropitanie-ajax/status=1;type-bat-f=plata-bloku-zivlennia";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;S;;Вага;г;;50;392;Електроживлення;Тип устройства;;Електроживлення
64;"https://secur.ua/ajax/elektrozivlennia-ajax/jelektropitanie-ajax/status=1;type-bat-f=plata-bloku-zivlennia";prom;prom_;"0,99";"1,3";148391021;Ajax;14191103;https://prom.ua/Promyshlennye-istochniki-pitaniya;"S, Sprom, noindex";;Вага;г;;50;392;Електроживлення;Тип устройства;;Електроживлення
65;https://secur.ua/ajax/aksessuary-dlja-signalizacii-ajax/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;S;;Вага;г;;50;394;Аксесуари для продукції Ajax;Тип устройства;;Комплектуючі Ajax
66;https://secur.ua/ajax/aksessuary-dlja-signalizacii-ajax/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302306;https://prom.ua/Ohrannye-sistemy-i-signalizatsii;"S, Sprom, noindex";;Вага;г;;50;394;Аксесуари для продукції Ajax;Тип устройства;;Комплектуючі Ajax
67;https://secur.ua/ajax/pozezna-bezpeka/ppkp-ajax/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;S;;Вага;г;;50;754;Хаби;Тип устройства;;Бездротові пожежні централі
68;https://secur.ua/ajax/pozezna-bezpeka/ppkp-ajax/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;302303;https://prom.ua/Priemno-kontrolnye-pribory-i-pribory-upravleniya;"S, Sprom, noindex";;Вага;г;;50;754;Хаби;Тип устройства;;Бездротові пожежні централі
69;https://secur.ua/ajax/pozezna-bezpeka/retransliatori/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;7190603;https://prom.ua/Setevye-kontsentratory;S;;Вага;г;;50;390;Ретранслятори (підсилювачі сигналу);Тип устройства;;Ретранслятори (підсилювачі сигналу)
70;https://secur.ua/ajax/pozezna-bezpeka/retransliatori/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;7190603;https://prom.ua/Setevye-kontsentratory;"S, Sprom, noindex";;Вага;г;;50;390;Ретранслятори (підсилювачі сигналу);Тип устройства;;Ретранслятори (підсилювачі сигналу)
71;https://secur.ua/ajax/pozezna-bezpeka/rucni-spovishhuvaci/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300921;https://prom.ua/Pozharnye-izveschateli;S;;Вага;г;;50;387;"Датчики тепла, диму та чадного газу";Тип устройства;;"Датчики тепла, диму та чадного газу"
72;https://secur.ua/ajax/pozezna-bezpeka/rucni-spovishhuvaci/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;300921;https://prom.ua/Pozharnye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;387;"Датчики тепла, диму та чадного газу";Тип устройства;;"Датчики тепла, диму та чадного газу"
73;https://secur.ua/ajax/pozezna-bezpeka/spovishhuvaci/status=1;site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;300921;https://prom.ua/Pozharnye-izveschateli;S;;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні пожарні сирени
74;https://secur.ua/ajax/pozezna-bezpeka/spovishhuvaci/status=1;prom;prom_;"0,99";"1,3";148391021;Ajax;300921;https://prom.ua/Pozharnye-izveschateli;"S, Sprom, noindex";;Вага;г;;50;483;Вуличні сирени;Тип устройства;;Вуличні пожарні сирени
75;"https://secur.ua/domofon/videodzvinki/status=1;brand=ajax";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;3029;https://prom.ua/Domofony-videodomofony;S;;Вага;г;;50;593;Відеодзвінки;Тип устройства;;Відеодзвінки
76;"https://secur.ua/domofon/videodzvinki/status=1;brand=ajax";prom;prom_;"0,99";"1,3";148391021;Ajax;3029;https://prom.ua/Domofony-videodomofony;"S, Sprom, noindex";;Вага;г;;50;593;Відеодзвінки;Тип устройства;;Відеодзвінки
77;"https://secur.ua/jelektropitanie/akumuliatori/status=1;brand=ajax";site;;"0,92";"1,19";4331550;Устройства и сигнализация Ajax;5280501;https://prom.ua/Akkumulyatornye-bloki;S;;Вага;г;;50;621;Акумулятори;Тип устройства;;Акумулятори Ajax
78;"https://secur.ua/jelektropitanie/akumuliatori/status=1;brand=ajax";prom;prom_;"0,99";"1,3";148391021;Ajax;5280501;https://prom.ua/Akkumulyatornye-bloki;"S, Sprom, noindex";;Вага;г;;50;621;Акумулятори;Тип устройства;;Акумулятори Ajax
79;;site;;"0,8";"1,3";8950007;Видеорегистраторы для видеонаблюдения;301101;https://prom.ua/Videoregistratory;S;;Вага;г;;52;13;Відеореєстратори;Тип устройства;;Реєстратори
80;;prom;prom_;"0,85";"1,3";140905382;Безопасность и комфорт;301101;https://prom.ua/Videoregistratory;"S, Sprom, noindex";;Вага;г;;52;13;Відеореєстратори;Тип устройства;;Реєстратори
81;;site;;"0,8";"1,3";8950011;Видеокамеры для видеонаблюдения;301105;https://prom.ua/Kamery-videonablyudeniya;S;;Вага;г;;52;25;Відеокамери;Тип устройства;;Камери
82;;prom;prom_;"0,85";"1,3";140905382;Безопасность и комфорт;301105;https://prom.ua/Kamery-videonablyudeniya;"S, Sprom, noindex";;Вага;г;;52;25;Відеокамери;Тип устройства;;Камери
83;;site;;"0,8";"1,19";4321341;Комплектующие для видеонаблюдения;301112;https://prom.ua/Kozhuhi-i-kronshtejny;S;;Вага;г;;52;50;Кронштейни;Тип устройства;;Кронштейни для камер
84;;prom;prom_;"0,85";"1,3";140905382;Безопасность и комфорт;301112;https://prom.ua/Kozhuhi-i-kronshtejny;"S, Sprom, noindex";;Вага;г;;52;50;Кронштейни;Тип устройства;;Кронштейни для камер
85;;site;;"0,85";"1,19";4321341;Комплектующие для видеонаблюдения;5092913;https://prom.ua/Korobki-montazhnye;S;;Вага;г;;52;49;Монтажні коробки;Тип устройства;;Розподільні коробки для камер
86;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;5092913;https://prom.ua/Korobki-montazhnye;"S, Sprom, noindex";;Вага;г;;52;49;Монтажні коробки;Тип устройства;;Розподільні коробки для камер
87;;site;;"0,85";"1,19";90906797;Тепловизоры;153709;https://prom.ua/Termometry-pirometry-teplovizory;S;;Вага;г;;52;61;Моніторинг температури тіла;Тип устройства;;Моніторинг температури тіла
88;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;153709;https://prom.ua/Termometry-pirometry-teplovizory;"S, Sprom, noindex";;Вага;г;;52;61;Моніторинг температури тіла;Тип устройства;;Моніторинг температури тіла
89;;site;;"0,85";"1,19";4321341;Комплектующие для видеонаблюдения;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;S;;Вага;г;;52;43;Пульти керування (PTZ);Тип устройства;;Пульти управління
90;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301110;https://prom.ua/Pulty-dlya-sistem-videonablyudeniya;"S, Sprom, noindex";;Вага;г;;52;43;Пульти керування (PTZ);Тип устройства;;Пульти управління
91;;site;;"0,85";"1,19";127628166;Терминалы;3030;https://prom.ua/Sistemy-kontrolya-dostupa;S;;Вага;г;;52;323;Автономні біометричні термінали і сканери;Тип устройства;;Автономні біометричні термінали і сканери
92;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;3030;https://prom.ua/Sistemy-kontrolya-dostupa;"S, Sprom, noindex";;Вага;г;;52;323;Автономні біометричні термінали і сканери;Тип устройства;;Автономні біометричні термінали і сканери
93;;site;;"0,85";"1,19";127628173;Считыватели;301311;https://prom.ua/Schityvateli;S;;Вага;г;;52;76;Зчитувачі;;;
94;;prom;prom_;"0,9";"1,3";140905382;Безопасность и комфорт;301311;https://prom.ua/Schityvateli;"S, Sprom, noindex";;Вага;г;;52;76;Зчитувачі;;;
95;;site;;"0,85";"1,19";90718784;Вызывные видеопанели;3029;https://prom.ua/Domofony-videodomofony;S;;Вага;г;;52;185;Викличні панелі;Тип устройства;;Відеопанель кольорова виклична
