prom_category_id;prom_category_name;rozetka_category_id;rozetka_category_name;matched_royalty_id;matched_royalty_name;match_level;brand;royalty_percent;price_from;price_to;threshold;coef_uncategorized;coef_no_base;coef_viatec;coef_secur;coef_lp;coef
;;;;;;;;;;;;1.4;1.33;;;;
52806;Системи, що використовують сонячну енергію > Сонячні панелі;4629920;Сонячні панелі;4629914;Альтернативні джерела енергії;1;;7;10000;19999;1.21;;;0.9;0.9;1;
52806;Системи, що використовують сонячну енергію > Сонячні панелі;4629920;Сонячні панелі;4629914;Альтернативні джерела енергії;1;;5;20000;99999;1.18;;;0.9;0.9;1;
52806;Системи, що використовують сонячну енергію > Сонячні панелі;4629920;Сонячні панелі;4629914;Альтернативні джерела енергії;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
53004;Електрика > Електричні розетки;4675025;Розетки;2577232;Інструменти й обладнання;3;;18;;;1.38;;;0.9;0.9;1;
53004;Електрика > Електричні розетки;4675025;Розетки;2577232;Інструменти й обладнання;3;;10;5000;9999;1.25;;;0.9;0.9;1;
53004;Електрика > Електричні розетки;4675025;Розетки;2577232;Інструменти й обладнання;3;;7;10000;19999;1.21;;;0.9;0.9;1;
53004;Електрика > Електричні розетки;4675025;Розетки;2577232;Інструменти й обладнання;3;;5;20000;99999;1.18;;;0.9;0.9;1;
53004;Електрика > Електричні розетки;4675025;Розетки;2577232;Інструменти й обладнання;3;;3;100000;999999999;1.16;;;0.9;0.9;1;
53005;Комплектуючі для освітлення та електрики > Вилки електричні;3803610;Силові роз'єми;2577232;Інструменти й обладнання;2;;18;;;1.38;;;0.9;0.9;1;
53005;Комплектуючі для освітлення та електрики > Вилки електричні;3803610;Силові роз'єми;2577232;Інструменти й обладнання;2;;10;5000;9999;1.25;;;0.9;0.9;1;
53005;Комплектуючі для освітлення та електрики > Вилки електричні;3803610;Силові роз'єми;2577232;Інструменти й обладнання;2;;7;10000;19999;1.21;;;0.9;0.9;1;
53005;Комплектуючі для освітлення та електрики > Вилки електричні;3803610;Силові роз'єми;2577232;Інструменти й обладнання;2;;5;20000;99999;1.18;;;0.9;0.9;1;
53005;Комплектуючі для освітлення та електрики > Вилки електричні;3803610;Силові роз'єми;2577232;Інструменти й обладнання;2;;3;100000;999999999;1.16;;;0.9;0.9;1;
63022;Побутова техніка для дому > Пароочисники;80151;Пароочисники;80025;Побутова техніка, інтер'єр;gap:435964;;18;0;5999;1.38;;;0.9;0.9;1;
63022;Побутова техніка для дому > Пароочисники;80151;Пароочисники;435964;Товари для догляду за домом і одягом;1;;7;6000;9999;1.21;;;0.9;0.9;1;
63022;Побутова техніка для дому > Пароочисники;80151;Пароочисники;435964;Товари для догляду за домом і одягом;1;;5;10000;99999;1.18;;;0.9;0.9;1;
63022;Побутова техніка для дому > Пароочисники;80151;Пароочисники;435964;Товари для догляду за домом і одягом;1;;3;100000;999999999;1.16;;;0.9;0.9;1;
63701;Аудіотехніка та аксесуари > Підсилювачі звуку;350560;Стереопідсилювачі;4627893;Спорт і захоплення;gap:267255;;18;0;4999;1.38;;;0.9;0.9;1;
63701;Аудіотехніка та аксесуари > Підсилювачі звуку;350560;Стереопідсилювачі;267255;Музичні інструменти та обладнання;2;;12;5000;9999;1.28;;;0.9;0.9;1;
63701;Аудіотехніка та аксесуари > Підсилювачі звуку;350560;Стереопідсилювачі;267255;Музичні інструменти та обладнання;2;;7;10000;19999;1.21;;;0.9;0.9;1;
63701;Аудіотехніка та аксесуари > Підсилювачі звуку;350560;Стереопідсилювачі;267255;Музичні інструменти та обладнання;2;;5;20000;99999;1.18;;;0.9;0.9;1;
