categoryId;offer id;article;name_ua;price;stock_quantity
1554082;3121681403;700559;Тяговий свинцево-кислотний AGM акумулятор LP 6-DZM-9 Ah;1345;14
1554082;3121681448;700558;Акумулятор мультигелевий LPM-MG 12V - 200 Ah;18309;6
1554082;3121681449;700557;Акумуляторна батарея LP 4 OPzS 2V - 280 Ah;6859;9
80108;3121681451;700555;Джерело безперебійного живлення (ДБЖ) LPM-700VA-P (490Вт);2746;15
1554082;3125708993;700567;Акумулятор AGM LPM 12V - 26 Ah (3125708993);2468;15
1554082;3125708994;700566;Акумулятор LP LiFePO4 24V (25,6V) - 100 Ah (2560Wh) (Smart BMS 100А) с BT пластик;34205;1
80108;3126590789;205531;Джерело безперебійного живлення EnerGenie EG-UPS-036 3000ВA апроксимована синусоїда;14220;6
80108;3126590790;205532;Джерело безперебійного живлення EnerGenie EG-UPS-PS2000-02 2000ВA чиста синусоїда;17534;1
1554082;3126591185;700570;Акумулятор AGM LPM 12V - 1.3 Ah s;306;13
1554082;3126591186;700569;Акумулятор мультигелевий LPM-MG 12V - 200 Ah s;18442;3
80108;3127677198;201744;Джерело безперебійного живлення Trinix TRX-MUPS-3648PoE;5984;1
1554082;3127677202;700576;Акумулятор гелевий LPM-GL 12V - 200 Ah (3127677202);18707;3
1554082;3127677203;700575;Акумулятор гелевий LPM-GL 12V - 200 Ah (3127677203);18865;4
