product_type;theme;schedule;google_cat_id;google_cat_hint;notes
техніка та електроніка > телефони та аксесуари > аксесуари для мобільних телефонів > Зарядні пристрої для смартфонів та планшетів;power;day;505295;Electronics > Electronics Accessories > Power > Power Adapters & Chargers;auto
"авто-, мото > електромобільні зарядні пристрої та станції";power_auto;day;7414;"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Repair & Specialty Tools > Vehicle Battery Chargers";auto
техніка та електроніка > Повербанки та зарядні станції > Повербанки;power_banks;day;505295;Electronics > Electronics Accessories > Power > Power Adapters & Chargers;auto
електрообладнання > батареї та акумулятори > акумулятори загального призначення;power_battery;day;4928;Electronics > Electronics Accessories > Power > Batteries > General Purpose Batteries;auto
"авто-, мото > електрообладнання автомобілів > автомобільні акумулятори";power_battery;day;8231;Vehicles & Parts > Vehicle Parts & Accessories > Motor Vehicle Parts > Motor Vehicle Power & Electrical Systems;auto
"електрообладнання > батареї та акумулятори > батарейні, акумуляторні відсіки";power_battery;day;8243;Electronics > Electronics Accessories > Power > Battery Accessories > Battery Holders;auto
електрообладнання > генератори та електростанції > електрогенератори;power_generators;day;1218;Hardware > Power & Electrical Supplies > Generators;auto
електрообладнання > компоненти АСУТП > перетворювачі > інвертори;power_inverters;day;5142;Hardware > Power & Electrical Supplies > Power Inverters;auto
електрообладнання > обладнання для електропостачання > блоки живлення > стабілізатори напруги;power_stabilizers;day;505318;Hardware > Power & Electrical Supplies > Voltage Transformers & Regulators;auto
техніка та електроніка > Повербанки та зарядні станції > Зарядні станції;power_stations;day;505295;Electronics > Electronics Accessories > Power > Power Adapters & Chargers;auto
електрообладнання > обладнання для електропостачання > блоки живлення > Промислові та побутові джерела живлення;power_supplies;day;291;Electronics > Electronics Accessories > Computer Components > Computer Power Supplies;auto
електрообладнання > обладнання для електропостачання > блоки живлення > джерела безперебійного живлення (ДБЖ);power_ups;day;1348;Electronics > Electronics Accessories > Power > UPS;auto
безпека та захист > засоби організації дорожнього руху > тимчасові дорожні огорожі;safety;day;8278;Business & Industrial > Construction > Traffic Cones & Barrels;auto
спецодяг та взуття > Робочі рукавички;safety;day;5591;Business & Industrial > Work Safety Protective Gear > Safety Gloves;auto
спецодяг та взуття > захисний спецодяг;safety;day;2047;Business & Industrial > Work Safety Protective Gear;auto
спецодяг та взуття > робочий одяг > робочі комбінезони та напівкомбінезони;safety;day;5484;Apparel & Accessories > Clothing > Uniforms > Contractor Pants & Coveralls;auto
товари для дітей > гігієна та догляд за дітьми > аксесуари для безпеки дітей;safety;day;543;Baby & Toddler > Baby Safety > Baby Safety Locks & Guards;auto
Дім і сад > догляд за будинком > прибирання > господарські рукавички;safety;day;5113;Home & Garden > Household Supplies > Household Cleaning Supplies > Cleaning Gloves;auto
безпека та захист > засоби індивідуального захисту > будівельні каски;safety;day;2723;Business & Industrial > Work Safety Protective Gear > Hardhats;auto
безпека та захист > засоби індивідуального захисту > засоби безпеки праці > засоби захисту очей;safety;day;2227;Business & Industrial > Work Safety Protective Gear > Protective Eyewear;auto
безпека та захист > засоби індивідуального захисту > засоби захисту органів дихання;safety;day;2473;Business & Industrial > Work Safety Protective Gear > Protective Masks > Gas Masks & Respirators;auto
"Інструменти > Ящики, сумки для інструментів";tool_accessories;day;3974;Hardware > Hardware Accessories > Tool Storage & Organization;auto
Інструменти > запчастини для інструменту;tool_accessories;day;3650;Hardware > Tool Accessories;auto
Інструменти > оснащення для інструменту > викруткові біти;tool_accessories;day;1540;Hardware > Tool Accessories > Drill & Screwdriver Accessories > Drill & Screwdriver Bits;auto
"Інструменти > оснащення для інструменту > відрізні, зачисні, шліфувальні, пильні круги";tool_accessories;day;499860;Hardware > Tool Accessories > Grinder Accessories > Grinding Wheels & Points;auto
"Інструменти > оснащення для інструменту > зубила, долото для перфоратора";tool_accessories;day;1174;Hardware > Tools > Carving Chisels & Gouges;auto
Інструменти > оснащення для інструменту > ножувальні полотна;tool_accessories;day;2202;Hardware > Tool Accessories > Tool Blades > Saw Blades;auto
"Інструменти > оснащення для інструменту > оливи, мастила для інструменту";tool_accessories;day;1753;Hardware > Building Consumables > Lubricants;auto
Інструменти > оснащення для інструменту > пилки для лобзиків;tool_accessories;day;2202;Hardware > Tool Accessories > Tool Blades > Saw Blades;auto
"Інструменти > оснащення для інструменту > свердла, бури";tool_accessories;day;1540;Hardware > Tool Accessories > Drill & Screwdriver Accessories > Drill & Screwdriver Bits;auto
"авто-, мото > автоінструмент > автомобільні насоси, компресори та манометри";tool_auto;day;8261;"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Repair & Specialty Tools > Vehicle Tire Repair & Tire Changing Tools";auto
"авто-, мото > аксесуари для авто > засоби аварійної безпеки > набори і аксесуари для автомобіліста";tool_auto;day;2879;Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Safety & Security > Vehicle Safety Equipment;auto
"Дім і сад > сад > садовий інвентар і освітлення > садові пилосмокти, повітродувки";tool_garden;day;3340;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Leaf Blowers;auto
Дім і сад > сад > інструмент для скошування трави > газонокосарки;tool_garden;day;694;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers;auto
Дім і сад > сад > інструмент для скошування трави > мотокоси і тримери;tool_garden;day;1223;Home & Garden > Lawn & Garden > Outdoor Power Equipment > Weed Trimmers;auto
Дім і сад > сад > інструменти для обробки грунту > Вила;tool_garden;day;3071;Home & Garden > Lawn & Garden > Gardening > Gardening Tools > Gardening Forks;auto
